  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
 58 ,  48 ,  Cd ,  -87132.2    , 105.9064592
 57 ,  49 ,  In ,  -80608      , 105.913464
 56 ,  50 ,  Sn ,  -77354      , 105.916957
 55 ,  51 ,  Sb ,  -66473      , 105.928638
 54 ,  52 ,  Te ,  -58220      , 105.937500
 66 ,  41 ,  Nb ,  -63724      , 106.931590
 65 ,  42 ,  Mo ,  -72545      , 106.922120
 64 ,  43 ,  Tc ,  -78750      , 106.915458
 63 ,  44 ,  Ru ,  -83863      , 106.909970
 62 ,  45 ,  Rh ,  -86864      , 106.906748
 61 ,  46 ,  Pd ,  -88372.7    , 106.9051283
 60 ,  47 ,  Ag ,  -88406.7    , 106.9050916
 59 ,  48 ,  Cd ,  -86990.3    , 106.9066128
 58 ,  49 ,  In ,  -83567      , 106.910287
 57 ,  50 ,  Sn ,  -78512      , 106.915714
 56 ,  51 ,  Sb ,  -70653      , 106.924151
 67 ,  41 ,  Nb ,  -59545      , 107.936076
 66 ,  42 ,  Mo ,  -70749      , 107.924048
 65 ,  43 ,  Tc ,  -75923      , 107.918493
 64 ,  44 ,  Ru ,  -83661      , 107.910186
 63 ,  45 ,  Rh ,  -85031      , 107.908715
 62 ,  46 ,  Pd ,  -89524.2    , 107.9038912
 61 ,  47 ,  Ag ,  -87606.8    , 107.9059506
 60 ,  48 ,  Cd ,  -89252.4    , 107.9041832
 59 ,  49 ,  In ,  -84120      , 107.909694
 58 ,  50 ,  Sn ,  -82070      , 107.911894
 57 ,  51 ,  Sb ,  -72445      , 107.922227
 56 ,  52 ,  Te ,  -65782      , 107.929380
 54 ,  54 ,  Xe ,  -42630      , 107.954230
 68 ,  41 ,  Nb ,  -56690      , 108.939140
 67 ,  42 ,  Mo ,  -66659      , 108.928438
 66 ,  43 ,  Tc ,  -74283      , 108.920254
 65 ,  44 ,  Ru ,  -80738      , 108.913324
 64 ,  45 ,  Rh ,  -84999      , 108.908750
 63 ,  46 ,  Pd ,  -87606.5    , 108.9059502
 62 ,  47 ,  Ag ,  -88719.4    , 108.9047554
 61 ,  48 ,  Cd ,  -88504.3    , 108.9049866
 60 ,  49 ,  In ,  -86490      , 108.907150
 59 ,  50 ,  Sn ,  -82630      , 108.911293
 58 ,  51 ,  Sb ,  -76251      , 108.918141
 57 ,  52 ,  Te ,  -67715      , 108.927305
 56 ,  53 ,  I  ,  -57673      , 108.938086
 55 ,  54 ,  Xe ,  -46170      , 108.950430
 69 ,  41 ,  Nb ,  -52310      , 109.943840
 68 ,  42 ,  Mo ,  -64536      , 109.930718
 67 ,  43 ,  Tc ,  -71035      , 109.923741
 66 ,  44 ,  Ru ,  -80073      , 109.914039
 65 ,  45 ,  Rh ,  -82829      , 109.911080
 64 ,  46 ,  Pd ,  -88330.9    , 109.9051727
 63 ,  47 ,  Ag ,  -87457.3    , 109.9061104
 62 ,  48 ,  Cd ,  -90348.0    , 109.9030074
 61 ,  49 ,  In ,  -86470      , 109.907171
 60 ,  50 ,  Sn ,  -85842      , 109.907845
 59 ,  51 ,  Sb ,  -77450      , 109.916854
 58 ,  52 ,  Te ,  -72230      , 109.922458
 57 ,  53 ,  I  ,  -60470      , 109.935090
 56 ,  54 ,  Xe ,  -51920      , 109.944260
 69 ,  42 ,  Mo ,  -59940      , 110.935652
 68 ,  43 ,  Tc ,  -69025      , 110.925899
 67 ,  44 ,  Ru ,  -76785      , 110.917568
 66 ,  45 ,  Rh ,  -82304      , 110.911643
 65 ,  46 ,  Pd ,  -85985.9    , 110.9076908
 64 ,  47 ,  Ag ,  -88215.4    , 110.9052966
 63 ,  48 ,  Cd ,  -89252.2    , 110.9041834
 62 ,  49 ,  In ,  -88392      , 110.905107
 61 ,  50 ,  Sn ,  -85939      , 110.907741
 60 ,  51 ,  Sb ,  -80837      , 110.913218
 59 ,  52 ,  Te ,  -73587      , 110.921001
 58 ,  53 ,  I  ,  -64954      , 110.930269
 69 ,  43 ,  Tc ,  -65259      , 111.929942
 68 ,  44 ,  Ru ,  -75631      , 111.918807
 67 ,  45 ,  Rh ,  -79730      , 111.914410
 66 ,  46 ,  Pd ,  -86321      , 111.907331
 65 ,  47 ,  Ag ,  -86583.7    , 111.9070486
 64 ,  48 ,  Cd ,  -90574.86   , 111.90276327
 63 ,  49 ,  In ,  -87990      , 111.905539
 62 ,  50 ,  Sn ,  -88655.05   , 111.9048243
 61 ,  51 ,  Sb ,  -81599      , 111.912400
 60 ,  52 ,  Te ,  -77568      , 111.916728
 59 ,  53 ,  I  ,  -67063      , 111.928005
 58 ,  54 ,  Xe ,  -60026      , 111.935559
 70 ,  43 ,  Tc ,  -62812      , 112.932569
 69 ,  44 ,  Ru ,  -71870      , 112.922850
 68 ,  45 ,  Rh ,  -78767      , 112.915440
 67 ,  46 ,  Pd ,  -83590      , 112.910262
 66 ,  47 ,  Ag ,  -87027      , 112.906573
 65 ,  48 ,  Cd ,  -89043.29   , 112.90440826
 64 ,  49 ,  In ,  -89367.12   , 112.90406020
 63 ,  50 ,  Sn ,  -88328.1    , 112.9051757
 62 ,  51 ,  Sb ,  -84417      , 112.909375
 61 ,  52 ,  Te ,  -78347      , 112.915890
 60 ,  53 ,  I  ,  -71120      , 112.923650
 59 ,  54 ,  Xe ,  -62204      , 112.933222
 58 ,  55 ,  Cs ,  -51765      , 112.944428
 71 ,  43 ,  Tc ,  -58600      , 113.937090
 70 ,  44 ,  Ru ,  -70221      , 113.924614
 69 ,  45 ,  Rh ,  -75710      , 113.918720
 68 ,  46 ,  Pd ,  -83490      , 113.910369
 67 ,  47 ,  Ag ,  -84931      , 113.908823
 66 ,  48 ,  Cd ,  -90014.93   , 113.90336530
 65 ,  49 ,  In ,  -88569.8    , 113.9049163
 64 ,  50 ,  Sn ,  -90559.735  , 113.90278003
 63 ,  51 ,  Sb ,  -84497      , 113.909289
 62 ,  52 ,  Te ,  -81890      , 113.912088
 61 ,  53 ,  I  ,  -72639      , 113.922019
 60 ,  54 ,  Xe ,  -67086      , 113.927980
 59 ,  55 ,  Cs ,  -54690      , 113.941290
 58 ,  56 ,  Ba ,  -45910      , 113.950720
 71 ,  44 ,  Ru ,  -66105      , 114.929033
 70 ,  45 ,  Rh ,  -74229      , 114.920312
 69 ,  46 ,  Pd ,  -80426      , 114.913659
 68 ,  47 ,  Ag ,  -84983      , 114.908767
 67 ,  48 ,  Cd ,  -88084.5    , 114.9054377
 66 ,  49 ,  In ,  -89536.357  , 114.903878012
 65 ,  50 ,  Sn ,  -90033.846  , 114.903344016
 64 ,  51 ,  Sb ,  -87003      , 114.906598
 63 ,  52 ,  Te ,  -82063      , 114.911900
 62 ,  53 ,  I  ,  -76338      , 114.918050
 61 ,  54 ,  Xe ,  -68657      , 114.926294
 72 ,  44 ,  Ru ,  -64069      , 115.931219
 71 ,  45 ,  Rh ,  -70740      , 115.924060
 70 ,  46 ,  Pd ,  -79831      , 115.914298
 69 ,  47 ,  Ag ,  -82543      , 115.911387
 68 ,  48 ,  Cd ,  -88712.49   , 115.90476317
 67 ,  49 ,  In ,  -88249.76   , 115.90525924
 66 ,  50 ,  Sn ,  -91525.98   , 115.90174210
 65 ,  51 ,  Sb ,  -86822      , 115.906793
 64 ,  52 ,  Te ,  -85264      , 115.908466
 63 ,  53 ,  I  ,  -77420      , 115.916890
 62 ,  54 ,  Xe ,  -73047      , 115.921581
 73 ,  44 ,  Ru ,  -59490      , 116.936140
 72 ,  45 ,  Rh ,  -68897      , 116.926036
 71 ,  46 ,  Pd ,  -76424      , 116.917956
 70 ,  47 ,  Ag ,  -82182      , 116.911774
 69 ,  48 ,  Cd ,  -86418.4    , 116.9072261
 68 ,  49 ,  In ,  -88943      , 116.904516
 67 ,  50 ,  Sn ,  -90397.7    , 116.9029545
 66 ,  51 ,  Sb ,  -88640      , 116.904842
 65 ,  52 ,  Te ,  -85096      , 116.908646
 64 ,  53 ,  I  ,  -80439      , 116.913646
 63 ,  54 ,  Xe ,  -74185      , 116.920359
 62 ,  55 ,  Cs ,  -66490      , 116.928620
 61 ,  56 ,  Ba ,  -57460      , 116.938320
 73 ,  45 ,  Rh ,  -64887      , 117.930341
 72 ,  46 ,  Pd ,  -75388.4    , 117.9190677
 71 ,  47 ,  Ag ,  -79553.8    , 117.9145957
 70 ,  48 ,  Cd ,  -86702      , 117.906922
 69 ,  49 ,  In ,  -87228      , 117.906357
 68 ,  50 ,  Sn ,  -91652.8    , 117.9016065
 67 ,  51 ,  Sb ,  -87996      , 117.905532
 66 ,  52 ,  Te ,  -87691      , 117.905860
 65 ,  53 ,  I  ,  -80971      , 117.913074
 64 ,  54 ,  Xe ,  -78079      , 117.916179
 63 ,  55 ,  Cs ,  -68409      , 117.926560
 74 ,  45 ,  Rh ,  -62823      , 118.932557
 73 ,  46 ,  Pd ,  -71407      , 118.923341
 72 ,  47 ,  Ag ,  -78646      , 118.915570
 71 ,  48 ,  Cd ,  -83980      , 118.909850
 70 ,  49 ,  In ,  -87699      , 118.905852
 69 ,  50 ,  Sn ,  -90065.0    , 118.9033118
 68 ,  51 ,  Sb ,  -89476      , 118.903944
 67 ,  52 ,  Te ,  -87183      , 118.906406
 66 ,  53 ,  I  ,  -83778      , 118.910061
 65 ,  54 ,  Xe ,  -78794      , 118.915411
 64 ,  55 ,  Cs ,  -72305      , 118.922377
 63 ,  56 ,  Ba ,  -64590      , 118.930660
 74 ,  46 ,  Pd ,  -70279.6    , 119.9245515
 73 ,  47 ,  Ag ,  -75652      , 119.918785
 72 ,  48 ,  Cd ,  -83957      , 119.909868
 71 ,  49 ,  In ,  -85730      , 119.907970
 70 ,  50 ,  Sn ,  -91097.7    , 119.9022020
 69 ,  51 ,  Sb ,  -88417      , 119.905080
 68 ,  52 ,  Te ,  -89362.2    , 119.9040659
 67 ,  53 ,  I  ,  -83747      , 119.910094
 66 ,  54 ,  Xe ,  -82172      , 119.911784
 65 ,  55 ,  Cs ,  -73889      , 119.920677
 64 ,  56 ,  Ba ,  -68890      , 119.926040
 76 ,  45 ,  Rh ,  -56250      , 120.939610
 75 ,  46 ,  Pd ,  -66182      , 120.928950
 74 ,  47 ,  Ag ,  -74403      , 120.920125
 73 ,  48 ,  Cd ,  -81073.8    , 120.9129631
 72 ,  49 ,  In ,  -85835      , 120.907853
 71 ,  50 ,  Sn ,  -89196.6    , 120.9042431
 70 ,  51 ,  Sb ,  -89599.2    , 120.9038117
 69 ,  52 ,  Te ,  -88543      , 120.904945
 68 ,  53 ,  I  ,  -86246      , 120.907411
 67 ,  54 ,  Xe ,  -82481      , 120.911453
 66 ,  55 ,  Cs ,  -77102      , 120.917227
 65 ,  56 ,  Ba ,  -70740      , 120.924050
 76 ,  46 ,  Pd ,  -64616      , 121.930632
 75 ,  47 ,  Ag ,  -71110      , 121.923660
 74 ,  48 ,  Cd ,  -80612.4    , 121.9134595
 73 ,  49 ,  In ,  -83570      , 121.910280
 72 ,  50 ,  Sn ,  -89940.0    , 121.9034456
 71 ,  51 ,  Sb ,  -88334.2    , 121.9051697
 70 ,  52 ,  Te ,  -90313.3    , 121.9030445
 69 ,  53 ,  I  ,  -86079      , 121.907590
 68 ,  54 ,  Xe ,  -85355      , 121.908368
 67 ,  55 ,  Cs ,  -78140      , 121.916110
 66 ,  56 ,  Ba ,  -74609      , 121.919900
 77 ,  46 ,  Pd ,  -60430      , 122.935130
 76 ,  47 ,  Ag ,  -69570      , 122.925320
 75 ,  48 ,  Cd ,  -77414.2    , 122.9168929
 74 ,  49 ,  In ,  -83429      , 122.910435
 73 ,  50 ,  Sn ,  -87814.7    , 122.9057277
 72 ,  51 ,  Sb ,  -89222.9    , 122.9042155
 71 ,  52 ,  Te ,  -89171.0    , 122.9042715
 70 ,  53 ,  I  ,  -87943      , 122.905590
 69 ,  54 ,  Xe ,  -85248      , 122.908482
 68 ,  55 ,  Cs ,  -81044      , 122.912996
 67 ,  56 ,  Ba ,  -75655      , 122.918781
 77 ,  47 ,  Ag ,  -66230      , 123.928900
 76 ,  48 ,  Cd ,  -76699.4    , 123.9176598
 75 ,  49 ,  In ,  -80870      , 123.913180
 74 ,  50 ,  Sn ,  -88231.5    , 123.9052794
 73 ,  51 ,  Sb ,  -87619.1    , 123.9059375
 72 ,  52 ,  Te ,  -90524.1    , 123.9028185
 71 ,  53 ,  I  ,  -87364.6    , 123.9062105
 70 ,  54 ,  Xe ,  -87667.4    , 123.9058855
 69 ,  55 ,  Cs ,  -81741      , 123.912247
 68 ,  56 ,  Ba ,  -79090      , 123.915094
 67 ,  57 ,  La ,  -70260      , 123.924570
 78 ,  47 ,  Ag ,  -64520      , 124.930740
 77 ,  48 ,  Cd ,  -73348.1    , 124.921258
 76 ,  49 ,  In ,  -80412.3    , 124.9136739
 75 ,  50 ,  Sn ,  -85893.7    , 124.9077894
 74 ,  51 ,  Sb ,  -88255.1    , 124.9052547
 73 ,  52 ,  Te ,  -89021.8    , 124.9044315
 72 ,  53 ,  I  ,  -88836.0    , 124.9046305
 71 ,  54 ,  Xe ,  -87199.4    , 124.9063875
 70 ,  55 ,  Cs ,  -84090      , 124.909726
 69 ,  56 ,  Ba ,  -79669      , 124.914472
 68 ,  57 ,  La ,  -73759      , 124.920816
 78 ,  48 ,  Cd ,  -72255.7    , 125.9224305
 77 ,  49 ,  In ,  -77809      , 125.916468
 76 ,  50 ,  Sn ,  -86015      , 125.907659
 75 ,  51 ,  Sb ,  -86390      , 125.907250
 74 ,  52 ,  Te ,  -90064.2    , 125.9033125
 73 ,  53 ,  I  ,  -87910      , 125.905624
 72 ,  54 ,  Xe ,  -89146.387  , 125.904297006
 71 ,  55 ,  Cs ,  -84351      , 125.909446
 70 ,  56 ,  Ba ,  -82670      , 125.911250
 69 ,  57 ,  La ,  -74970      , 125.919510
 68 ,  58 ,  Ce ,  -70821      , 125.923970
 79 ,  48 ,  Cd ,  -68741      , 126.926203
 78 ,  49 ,  In ,  -76880      , 126.917466
 77 ,  50 ,  Sn ,  -83470      , 126.910392
 76 ,  51 ,  Sb ,  -86698      , 126.906926
 75 ,  52 ,  Te ,  -88280.5    , 126.9052275
 74 ,  53 ,  I  ,  -88983      , 126.904473
 73 ,  54 ,  Xe ,  -88321      , 126.905184
 72 ,  55 ,  Cs ,  -86240      , 126.907418
 71 ,  56 ,  Ba ,  -82818      , 126.911091
 70 ,  57 ,  La ,  -77896      , 126.916375
 69 ,  58 ,  Ce ,  -71979      , 126.922730
 80 ,  48 ,  Cd ,  -67238      , 127.927817
 79 ,  49 ,  In ,  -74190.1    , 127.9203534
 78 ,  50 ,  Sn ,  -83361      , 127.910508
 77 ,  51 ,  Sb ,  -84630      , 127.909146
 76 ,  52 ,  Te ,  -88993.8    , 127.9044618
 75 ,  53 ,  I  ,  -87738      , 127.905809
 74 ,  54 ,  Xe ,  -89860.534  , 127.903530006
 73 ,  55 ,  Cs ,  -85932      , 127.907748
 72 ,  56 ,  Ba ,  -85369.2    , 127.9083527
 71 ,  57 ,  La ,  -78630      , 127.915590
 70 ,  58 ,  Ce ,  -75534      , 127.918910
 69 ,  59 ,  Pr ,  -66331      , 127.928790
 81 ,  48 ,  Cd ,  -63122      , 128.932236
 80 ,  49 ,  In ,  -72834.9    , 128.9218081
 79 ,  50 ,  Sn ,  -80591      , 128.913482
 78 ,  51 ,  Sb ,  -84629      , 128.909147
 77 ,  52 ,  Te ,  -87004.9    , 128.9065968
 76 ,  53 ,  I  ,  -88507      , 128.904984
 75 ,  54 ,  Xe ,  -88696.070  , 128.904780005
 74 ,  55 ,  Cs ,  -87499      , 128.906066
 73 ,  56 ,  Ba ,  -85061      , 128.908683
 72 ,  57 ,  La ,  -81324      , 128.912696
 71 ,  58 ,  Ce ,  -76288      , 128.918100
 70 ,  59 ,  Pr ,  -69774      , 128.925100
 82 ,  48 ,  Cd ,  -61118      , 129.934388
 81 ,  49 ,  In ,  -69906.5    , 129.9249529
 80 ,  50 ,  Sn ,  -80132.2    , 129.9139740
 79 ,  51 ,  Sb ,  -82286      , 129.911663
 78 ,  52 ,  Te ,  -87352.960  , 129.906222012
 77 ,  53 ,  I  ,  -86936      , 129.906670
 76 ,  54 ,  Xe ,  -89880.474  , 129.903509010
 75 ,  55 ,  Cs ,  -86900      , 129.906709
 74 ,  56 ,  Ba ,  -87256.78   , 129.9063263
 73 ,  57 ,  La ,  -81627      , 129.912369
 72 ,  58 ,  Ce ,  -79423      , 129.914740
 71 ,  59 ,  Pr ,  -71180      , 129.923590
 70 ,  60 ,  Nd ,  -66596      , 129.928510
 83 ,  48 ,  Cd ,  -55212      , 130.940728
 82 ,  49 ,  In ,  -68024.4    , 130.9269724
 81 ,  50 ,  Sn ,  -77265      , 130.917053
 80 ,  51 ,  Sb ,  -81981.4    , 130.9119892
 79 ,  52 ,  Te ,  -85211.02   , 130.90852207
 78 ,  53 ,  I  ,  -87442.7    , 130.9061266
 77 ,  54 ,  Xe ,  -88413.575  , 130.905084005
 76 ,  55 ,  Cs ,  -88055.57   , 130.90546819
 75 ,  56 ,  Ba ,  -86679.0    , 130.9069464
 74 ,  57 ,  La ,  -83769      , 130.910070
 73 ,  58 ,  Ce ,  -79710      , 130.914430
 72 ,  59 ,  Pr ,  -74300      , 130.920230
 71 ,  60 ,  Nd ,  -67768      , 130.927248
 84 ,  48 ,  Cd ,  -50470      , 131.945820
 83 ,  49 ,  In ,  -62410      , 131.933000
 82 ,  50 ,  Sn ,  -76546.6    , 131.9178231
 81 ,  51 ,  Sb ,  -79635.3    , 131.9145086
 80 ,  52 ,  Te ,  -85188      , 131.908547
 79 ,  53 ,  I  ,  -85704      , 131.907994
 78 ,  54 ,  Xe ,  -89278.975  , 131.904155005
 77 ,  55 ,  Cs ,  -87152.7    , 131.9064371
 76 ,  56 ,  Ba ,  -88434.9    , 131.9050611
 75 ,  57 ,  La ,  -83720      , 131.910120
 74 ,  58 ,  Ce ,  -82469      , 131.911466
 73 ,  59 ,  Pr ,  -75227      , 131.919240
 72 ,  60 ,  Nd ,  -71426      , 131.923321
 83 ,  50 ,  Sn ,  -70873.9    , 132.9239130
 82 ,  51 ,  Sb ,  -78924      , 132.915272
 81 ,  52 ,  Te ,  -82937.1    , 132.9109632
 80 ,  53 ,  I  ,  -85857      , 132.907828
 79 ,  54 ,  Xe ,  -87643.6    , 132.9059106
 78 ,  55 ,  Cs ,  -88070.943  , 132.905451009
 77 ,  56 ,  Ba ,  -87553.5    , 132.9060071
 76 ,  57 ,  La ,  -85494      , 132.908220
 75 ,  58 ,  Ce ,  -82418      , 132.911520
 74 ,  59 ,  Pr ,  -77938      , 132.916331
 73 ,  60 ,  Nd ,  -72330      , 132.922350
 72 ,  61 ,  Pm ,  -65410      , 132.929780
 84 ,  50 ,  Sn ,  -66434      , 133.928680
 83 ,  51 ,  Sb ,  -74019      , 133.920537
 82 ,  52 ,  Te ,  -82533.8    , 133.9113969
 81 ,  53 ,  I  ,  -84043      , 133.909776
 80 ,  54 ,  Xe ,  -88125.834  , 133.905393006
 79 ,  55 ,  Cs ,  -86891.165  , 133.906718018
 78 ,  56 ,  Ba ,  -88950.00   , 133.90450827
 77 ,  57 ,  La ,  -85219      , 133.908514
 76 ,  58 ,  Ce ,  -84833      , 133.908928
 75 ,  59 ,  Pr ,  -78528      , 133.915697
 74 ,  60 ,  Nd ,  -75646      , 133.918790
 73 ,  61 ,  Pm ,  -66760      , 133.928330
 85 ,  50 ,  Sn ,  -60632      , 134.934909
 84 ,  51 ,  Sb ,  -69690.3    , 134.9251848
 83 ,  52 ,  Te ,  -77728.8    , 134.9165548
 82 ,  53 ,  I  ,  -83779.2    , 134.9100592
 81 ,  54 ,  Xe ,  -86413      , 134.907231
 80 ,  55 ,  Cs ,  -87582.0    , 134.9059764
 79 ,  56 ,  Ba ,  -87850.65   , 134.90568826
 78 ,  57 ,  La ,  -86643      , 134.906984
 77 ,  58 ,  Ce ,  -84616      , 134.909161
 76 ,  59 ,  Pr ,  -80936      , 134.913112
 75 ,  60 ,  Nd ,  -76214      , 134.918181
 74 ,  61 ,  Pm ,  -70060      , 134.924790
 73 ,  62 ,  Sm ,  -62860      , 134.932520
 85 ,  51 ,  Sb ,  -64507      , 135.930749
 84 ,  52 ,  Te ,  -74425.3    , 135.9201014
 83 ,  53 ,  I  ,  -79545      , 135.914605
 82 ,  54 ,  Xe ,  -86429.170  , 135.907214007
 81 ,  55 ,  Cs ,  -86338.9    , 135.9073110
 80 ,  56 ,  Ba ,  -88887.08   , 135.90457526
 79 ,  57 ,  La ,  -86040      , 135.907630
 78 ,  58 ,  Ce ,  -86508.5    , 135.9071293
 77 ,  59 ,  Pr ,  -81340      , 135.912677
 76 ,  60 ,  Nd ,  -79199      , 135.914976
 75 ,  61 ,  Pm ,  -71170      , 135.923600
 74 ,  62 ,  Sm ,  -66811      , 135.928276
 86 ,  51 ,  Sb ,  -60060      , 136.935520
 85 ,  52 ,  Te ,  -69303.8    , 136.9255993
 84 ,  53 ,  I  ,  -76356      , 136.918028
 83 ,  54 ,  Xe ,  -82383.41   , 136.91155711
 82 ,  55 ,  Cs ,  -86545.8    , 136.9070893
 81 ,  56 ,  Ba ,  -87721.40   , 136.90582727
 80 ,  57 ,  La ,  -87140.9    , 136.9064508
 79 ,  58 ,  Ce ,  -85918.8    , 136.9077624
 78 ,  59 ,  Pr ,  -83202      , 136.910679
 77 ,  60 ,  Nd ,  -79584      , 136.914563
 76 ,  61 ,  Pm ,  -74073      , 136.920480
 75 ,  62 ,  Sm ,  -67992      , 136.927010
 74 ,  63 ,  Eu ,  -60146      , 136.935431
 86 ,  52 ,  Te ,  -65696      , 137.929472
 85 ,  53 ,  I  ,  -71980      , 137.922726
 84 ,  54 ,  Xe ,  -79972.2    , 137.914146
 83 ,  55 ,  Cs ,  -82887      , 137.911017
 82 ,  56 ,  Ba ,  -88261.81   , 137.90524727
 81 ,  57 ,  La ,  -86513.4    , 137.9071244
 80 ,  58 ,  Ce ,  -87565.9    , 137.9059945
 79 ,  59 ,  Pr ,  -83129      , 137.910757
 78 ,  60 ,  Nd ,  -82017      , 137.911951
 77 ,  61 ,  Pm ,  -74914      , 137.919576
 76 ,  62 ,  Sm ,  -71498      , 137.923244
 75 ,  63 ,  Eu ,  -61750      , 137.933710
 87 ,  52 ,  Te ,  -60205      , 138.935367
 86 ,  53 ,  I  ,  -68471      , 138.926493
 85 ,  54 ,  Xe ,  -75644.6    , 138.9187923
 84 ,  55 ,  Cs ,  -80701      , 138.913364
 83 ,  56 ,  Ba ,  -84913.92   , 138.90884127
 82 ,  57 ,  La ,  -87222.4    , 138.9063627
 81 ,  58 ,  Ce ,  -86957.7    , 138.9066472
 80 ,  59 ,  Pr ,  -84829      , 138.908933
 79 ,  60 ,  Nd ,  -82017      , 138.911951
 78 ,  61 ,  Pm ,  -77501      , 138.916799
 77 ,  62 ,  Sm ,  -72380      , 138.922297
 76 ,  63 ,  Eu ,  -65398      , 138.929792
 88 ,  52 ,  Te ,  -56367      , 139.939487
 87 ,  53 ,  I  ,  -63606      , 139.931716
 86 ,  54 ,  Xe ,  -72986.5    , 139.9216455
 85 ,  55 ,  Cs ,  -77050      , 139.917284
 84 ,  56 ,  Ba ,  -83268      , 139.910608
 83 ,  57 ,  La ,  -84312.1    , 139.9094877
 82 ,  58 ,  Ce ,  -88074.2    , 139.9054484
 81 ,  59 ,  Pr ,  -84686      , 139.909086
 80 ,  60 ,  Nd ,  -84257      , 139.909546
 79 ,  61 ,  Pm ,  -78212      , 139.916036
 78 ,  62 ,  Sm ,  -75456      , 139.918995
 77 ,  63 ,  Eu ,  -66990      , 139.928090
 76 ,  64 ,  Gd ,  -61782      , 139.933670
 75 ,  65 ,  Tb ,  -50480      , 139.945810
 88 ,  53 ,  I  ,  -59927      , 140.935666
 87 ,  54 ,  Xe ,  -68197.3    , 140.926787
 86 ,  55 ,  Cs ,  -74477      , 140.920045
 85 ,  56 ,  Ba ,  -79732      , 140.914404
 84 ,  57 ,  La ,  -82930      , 140.910971
 83 ,  58 ,  Ce ,  -85431.1    , 140.9082864
 82 ,  59 ,  Pr ,  -86014.5    , 140.9076596
 81 ,  60 ,  Nd ,  -84192      , 140.909617
 80 ,  61 ,  Pm ,  -80523      , 140.913555
 79 ,  62 ,  Sm ,  -75934      , 140.918482
 78 ,  63 ,  Eu ,  -69926      , 140.924932
 77 ,  64 ,  Gd ,  -63224      , 140.932126
 76 ,  65 ,  Tb ,  -54540      , 140.941450
 89 ,  53 ,  I  ,  -54803      , 141.941167
 88 ,  54 ,  Xe ,  -65229.6    , 141.9299739
 87 ,  55 ,  Cs ,  -70515      , 141.924300
 86 ,  56 ,  Ba ,  -77842      , 141.916433
 85 ,  57 ,  La ,  -80024      , 141.914091
 84 ,  58 ,  Ce ,  -84532.9    , 141.9092506
 83 ,  59 ,  Pr ,  -83786.4    , 141.9100516
 82 ,  60 ,  Nd ,  -85950.1    , 141.9077283
 81 ,  61 ,  Pm ,  -81142      , 141.912891
 80 ,  62 ,  Sm ,  -78981.9    , 141.9152090
 79 ,  63 ,  Eu ,  -71310      , 141.923450
 78 ,  64 ,  Gd ,  -66960      , 141.928120
 77 ,  65 ,  Tb ,  -56560      , 141.939280
 89 ,  54 ,  Xe ,  -60203      , 142.935370
 88 ,  55 ,  Cs ,  -67676      , 142.927347
 87 ,  56 ,  Ba ,  -73937      , 142.920625
 86 ,  57 ,  La ,  -78171      , 142.916079
 85 ,  58 ,  Ce ,  -81606.4    , 142.9123926
 84 ,  59 ,  Pr ,  -83068.2    , 142.9108229
 83 ,  60 ,  Nd ,  -84002.3    , 142.9098193
 82 ,  61 ,  Pm ,  -82960.7    , 142.910938
 81 ,  62 ,  Sm ,  -79517.1    , 142.9146340
 80 ,  63 ,  Eu ,  -74241      , 142.920299
 79 ,  64 ,  Gd ,  -68230      , 142.926750
 78 ,  65 ,  Tb ,  -60420      , 142.935140
 77 ,  66 ,  Dy ,  -52169      , 142.943994
 90 ,  54 ,  Xe ,  -56872      , 143.938945
 89 ,  55 ,  Cs ,  -63271      , 143.932075
 88 ,  56 ,  Ba ,  -71767      , 143.922955
 87 ,  57 ,  La ,  -74850      , 143.919646
 86 ,  58 ,  Ce ,  -80431.9    , 143.913653
 85 ,  59 ,  Pr ,  -80750.6    , 143.9133109
 84 ,  60 ,  Nd ,  -83748.0    , 143.9100923
 83 ,  61 ,  Pm ,  -81416.1    , 143.912596
 82 ,  62 ,  Sm ,  -81965.6    , 143.9120066
 81 ,  63 ,  Eu ,  -75619      , 143.918819
 80 ,  64 ,  Gd ,  -71760      , 143.922960
 79 ,  65 ,  Tb ,  -62368      , 143.933050
 78 ,  66 ,  Dy ,  -56570      , 143.939270
 77 ,  67 ,  Ho ,  -44610      , 143.952110
 91 ,  54 ,  Xe ,  -51493      , 144.944720
 90 ,  55 ,  Cs ,  -60054      , 144.935529
 89 ,  56 ,  Ba ,  -67516      , 144.927518
 88 ,  57 ,  La ,  -72835      , 144.921808
 87 ,  58 ,  Ce ,  -77070      , 144.917270
 86 ,  59 ,  Pr ,  -79626      , 144.914518
 85 ,  60 ,  Nd ,  -81432.0    , 144.9125794
 84 ,  61 ,  Pm ,  -81267.5    , 144.912756
 83 ,  62 ,  Sm ,  -80651.4    , 144.9134176
 82 ,  63 ,  Eu ,  -77992      , 144.916273
 81 ,  64 ,  Gd ,  -72927      , 144.921710
 80 ,  65 ,  Tb ,  -66400      , 144.928720
 79 ,  66 ,  Dy ,  -58243      , 144.937474
 78 ,  67 ,  Ho ,  -49120      , 144.947267
 92 ,  54 ,  Xe ,  -47955      , 145.948518
 91 ,  55 ,  Cs ,  -55310.4    , 145.940622
 90 ,  56 ,  Ba ,  -64866.3    , 145.9303639
