  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
 29 ,  28 ,  Ni ,  -56084.0    ,  56.9397916
 28 ,  29 ,  Cu ,  -47309.0    ,  56.9492115
 37 ,  21 ,  Sc ,  -15480      ,  57.983380
 36 ,  22 ,  Ti ,  -30920      ,  57.966810
 35 ,  23 ,  V  ,  -40430      ,  57.956600
 34 ,  24 ,  Cr ,  -51991.8    ,  57.944185
 33 ,  25 ,  Mn ,  -55827.6    ,  57.9400669
 32 ,  26 ,  Fe ,  -62155.3    ,  57.9332733
 31 ,  27 ,  Co ,  -59847.3    ,  57.9357512
 30 ,  28 ,  Ni ,  -60228.9    ,  57.9353414
 29 ,  29 ,  Cu ,  -51667.9    ,  57.9445326
 28 ,  30 ,  Zn ,  -42300      ,  57.954590
 38 ,  21 ,  Sc ,  -10830      ,  58.988370
 36 ,  23 ,  V  ,  -37610      ,  58.959620
 35 ,  24 ,  Cr ,  -48115.9    ,  58.9483457
 34 ,  25 ,  Mn ,  -55525.3    ,  58.9403915
 33 ,  26 ,  Fe ,  -60665.0    ,  58.9348734
 32 ,  27 ,  Co ,  -62229.8    ,  58.9331934
 31 ,  28 ,  Ni ,  -61156.8    ,  58.9343454
 30 ,  29 ,  Cu ,  -56358.5    ,  58.9394966
 29 ,  30 ,  Zn ,  -47215.7    ,  58.9493118
 38 ,  22 ,  Ti ,  -22100      ,  59.976280
 37 ,  23 ,  V  ,  -33090      ,  59.964480
 36 ,  24 ,  Cr ,  -46908.5    ,  59.9496412
 35 ,  25 ,  Mn ,  -52967.9    ,  59.9431365
 34 ,  26 ,  Fe ,  -61413      ,  59.934070
 33 ,  27 ,  Co ,  -61650.4    ,  59.9338154
 32 ,  28 ,  Ni ,  -64473.2    ,  59.9307854
 31 ,  29 ,  Cu ,  -58345.3    ,  59.9373637
 30 ,  30 ,  Zn ,  -54174.5    ,  59.9418416
 38 ,  23 ,  V  ,  -30180      ,  60.967600
 37 ,  24 ,  Cr ,  -42496.5    ,  60.9543780
 36 ,  25 ,  Mn ,  -51742.1    ,  60.9444525
 35 ,  26 ,  Fe ,  -58920.5    ,  60.9367468
 34 ,  27 ,  Co ,  -62898.2    ,  60.9324769
 33 ,  28 ,  Ni ,  -64222.0    ,  60.9310544
 32 ,  29 ,  Cu ,  -61984.1    ,  60.9334570
 31 ,  30 ,  Zn ,  -56349      ,  60.939507
 30 ,  31 ,  Ga ,  -47130      ,  60.949400
 39 ,  23 ,  V  ,  -25210      ,  61.972930
 38 ,  24 ,  Cr ,  -40853      ,  61.956143
 37 ,  25 ,  Mn ,  -48524      ,  61.947907
 36 ,  26 ,  Fe ,  -58878.1    ,  61.936792
 35 ,  27 ,  Co ,  -61424      ,  61.934058
 34 ,  28 ,  Ni ,  -66746.4    ,  61.9283445
 33 ,  29 ,  Cu ,  -62787.5    ,  61.9325947
 32 ,  30 ,  Zn ,  -61168.1    ,  61.9343337
 31 ,  31 ,  Ga ,  -51987.0    ,  61.9441897
 40 ,  23 ,  V  ,  -21740      ,  62.976660
 39 ,  24 ,  Cr ,  -36180      ,  62.961160
 38 ,  25 ,  Mn ,  -46887      ,  62.949665
 37 ,  26 ,  Fe ,  -55636      ,  62.940273
 36 ,  27 ,  Co ,  -61852      ,  62.933600
 35 ,  28 ,  Ni ,  -65512.9    ,  62.9296695
 34 ,  29 ,  Cu ,  -65579.9    ,  62.9295975
